Date;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;HomeTeamShots;AwayTeamShots;HomeTeamShots;AwayTeamShots;HomeTeamFoulsCommitted;AwayTeamFoulsCommitted;HomeTeamCorners;AwayTeamCorners;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;;;;;;
10.12.2005;Nurnberg;Leverkusen;1;1;D;1;1;D;15;16;22;21;3;6;2;3;0;0;;;;;;;;
10.12.2005;Schalke 04;Mainz;1;0;H;0;0;D;15;7;11;20;5;2;1;2;0;0;;;;;;;;
10.12.2005;Wolfsburg;Stuttgart;0;1;A;0;0;D;12;9;17;15;5;1;1;2;0;0;;;;;;;;
11.12.2005;Bayern Munich;Kaiserslautern;2;1;H;1;1;D;20;9;14;18;10;1;3;0;0;0;;;;;;;;
11.12.2005;FC Koln;Werder Bremen;1;4;A;1;1;D;12;21;17;14;4;3;1;3;0;0;;;;;;;;
14.12.2005;Kaiserslautern;Ein Frankfurt;1;2;A;0;0;D;12;6;24;26;3;2;3;2;0;0;;;;;;;;
17.12.2005;Bielefeld;FC Koln;3;2;H;0;1;A;15;7;20;24;9;2;0;4;0;0;;;;;;;;
17.12.2005;Dortmund;Bayern Munich;1;2;A;0;0;D;12;12;18;18;5;3;1;2;1;0;;;;;;;;
17.12.2005;Kaiserslautern;Wolfsburg;3;2;H;1;0;H;21;14;24;27;7;5;2;4;0;0;;;;;;;;
17.12.2005;Leverkusen;Hannover;0;0;D;0;0;D;19;11;13;18;5;5;3;1;0;0;;;;;;;;
17.12.2005;Mainz;Duisburg;1;1;D;1;0;H;14;10;27;22;2;1;2;3;0;0;;;;;;;;
17.12.2005;M'gladbach;Ein Frankfurt;4;3;H;1;2;A;19;14;20;20;6;4;2;1;0;0;;;;;;;;
17.12.2005;Stuttgart;Schalke 04;2;0;H;0;0;D;14;15;18;23;2;4;4;5;0;1;;;;;;;;
18.12.2005;Hertha;Nurnberg;1;1;D;0;0;D;20;7;18;23;10;4;1;2;0;0;;;;;;;;
18.12.2005;Werder Bremen;Hamburg;1;1;D;1;0;H;20;12;27;27;6;6;5;3;0;0;;;;;;;;
27.01.2006;M'gladbach;Bayern Munich;1;3;A;0;1;A;8;14;16;24;2;6;1;1;0;0;;;;;;;;
28.01.2006;Dortmund;Wolfsburg;3;2;H;2;1;H;16;12;17;22;4;1;2;3;0;0;;;;;;;;
28.01.2006;Hertha;Hannover;1;1;D;0;1;A;20;7;15;18;6;1;1;4;0;1;;;;;;;;
28.01.2006;Leverkusen;Ein Frankfurt;2;1;H;0;1;A;19;10;19;22;6;5;2;2;0;0;;;;;;;;
28.01.2006;Mainz;FC Koln;4;2;H;1;1;D;30;7;17;22;10;1;2;0;0;0;;;;;;;;
28.01.2006;Nurnberg;Hamburg;2;1;H;0;0;D;19;11;19;19;3;2;2;3;0;0;;;;;;;;
28.01.2006;Stuttgart;Duisburg;0;1;A;0;1;A;18;8;21;25;12;3;2;5;0;0;;;;;;;;
29.01.2006;Bielefeld;Werder Bremen;0;1;A;0;0;D;11;10;26;30;1;2;1;3;0;0;;;;;;;;
29.01.2006;Kaiserslautern;Schalke 04;0;2;A;0;1;A;12;17;31;23;4;5;2;3;0;0;;;;;;;;
04.02.2006;Bayern Munich;Leverkusen;1;0;H;1;0;H;16;9;19;22;6;3;2;4;0;0;;;;;;;;
04.02.2006;Duisburg;Kaiserslautern;2;2;D;1;0;H;10;23;24;22;2;9;3;3;0;0;;;;;;;;
04.02.2006;Ein Frankfurt;Hertha;1;1;D;0;1;A;27;12;17;26;12;4;3;4;0;1;;;;;;;;
04.02.2006;FC Koln;Stuttgart;0;0;D;0;0;D;15;11;20;19;4;4;1;2;0;0;;;;;;;;
04.02.2006;Hamburg;Bielefeld;2;1;H;0;1;A;9;15;22;14;4;4;5;1;0;0;;;;;;;;
04.02.2006;Schalke 04;Dortmund;0;0;D;0;0;D;19;7;11;16;8;3;2;3;0;0;;;;;;;;
04.02.2006;Werder Bremen;Mainz;4;2;H;3;2;H;20;11;22;18;11;2;3;3;0;0;;;;;;;;
05.02.2006;Hannover;Nurnberg;1;1;D;0;0;D;11;18;16;20;2;2;0;2;0;0;;;;;;;;
05.02.2006;Wolfsburg;M'gladbach;2;0;H;1;0;H;19;9;20;24;6;3;4;2;0;0;;;;;;;;
07.02.2006;Dortmund;Duisburg;2;0;H;0;0;D;14;10;11;20;6;4;0;2;0;1;;;;;;;;
07.02.2006;Hertha;Bayern Munich;0;0;D;0;0;D;17;14;18;22;8;4;1;1;0;0;;;;;;;;
07.02.2006;Kaiserslautern;FC Koln;2;2;D;1;1;D;21;9;21;31;6;3;2;3;0;0;;;;;;;;
07.02.2006;Mainz;Bielefeld;1;1;D;0;0;D;9;11;20;18;0;6;3;1;0;0;;;;;;;;
08.02.2006;Hannover;Hamburg;2;1;H;0;0;D;12;17;16;17;1;10;0;2;0;0;;;;;;;;
08.02.2006;Leverkusen;Wolfsburg;4;0;H;1;0;H;20;7;17;17;8;3;0;0;0;0;;;;;;;;
08.02.2006;M'gladbach;Schalke 04;0;0;D;0;0;D;10;9;25;20;8;6;3;2;0;0;;;;;;;;
08.02.2006;Nurnberg;Ein Frankfurt;0;1;A;0;1;A;14;10;15;23;8;9;4;3;0;0;;;;;;;;
08.02.2006;Stuttgart;Werder Bremen;0;0;D;0;0;D;4;19;20;30;2;5;3;2;0;0;;;;;;;;
11.02.2006;Bielefeld;Stuttgart;2;1;H;1;1;D;8;6;18;25;4;1;1;4;0;0;;;;;;;;
11.02.2006;Duisburg;M'gladbach;1;1;D;1;1;D;12;10;21;22;6;3;3;3;0;1;;;;;;;;
11.02.2006;Ein Frankfurt;Hannover;0;1;A;0;0;D;14;7;20;20;13;5;2;0;0;0;;;;;;;;
11.02.2006;Hamburg;Mainz;1;0;H;1;0;H;7;8;25;25;6;2;1;2;0;0;;;;;;;;
11.02.2006;Schalke 04;Leverkusen;7;4;H;3;1;H;17;17;21;24;2;5;2;0;0;0;;;;;;;;
11.02.2006;Werder Bremen;Kaiserslautern;0;2;A;0;0;D;27;12;16;21;15;1;0;2;0;0;;;;;;;;
11.02.2006;Wolfsburg;Hertha;1;1;D;0;1;A;28;4;26;24;8;3;4;3;0;2;;;;;;;;
12.02.2006;Bayern Munich;Nurnberg;2;1;H;1;1;D;18;11;11;28;11;5;1;3;0;0;;;;;;;;
12.02.2006;FC Koln;Dortmund;0;0;D;0;0;D;13;16;19;22;4;6;2;3;0;0;;;;;;;;
18.02.2006;Dortmund;Werder Bremen;0;1;A;0;1;A;11;18;16;18;6;9;0;3;0;0;;;;;;;;
18.02.2006;Hannover;Bayern Munich;1;1;D;0;0;D;12;19;16;9;3;6;1;2;0;0;;;;;;;;
18.02.2006;Hertha;Schalke 04;1;2;A;1;2;A;11;17;28;35;5;5;5;3;1;1;;;;;;;;
18.02.2006;Kaiserslautern;Bielefeld;2;0;H;1;0;H;9;16;14;13;1;6;0;2;0;0;;;;;;;;
18.02.2006;Leverkusen;Duisburg;3;2;H;2;1;H;17;5;22;20;6;0;4;1;0;1;;;;;;;;
18.02.2006;M'gladbach;FC Koln;2;0;H;0;0;D;14;13;25;31;4;3;1;1;0;1;;;;;;;;
18.02.2006;Nurnberg;Wolfsburg;1;0;H;1;0;H;18;15;22;21;3;8;4;1;0;0;;;;;;;;
19.02.2006;Ein Frankfurt;Hamburg;1;2;A;1;1;D;16;7;21;25;5;2;2;1;0;0;;;;;;;;
19.02.2006;Stuttgart;Mainz;2;1;H;1;1;D;16;17;25;27;8;2;0;4;0;0;;;;;;;;
25.02.2006;Bayern Munich;Ein Frankfurt;5;2;H;3;1;H;17;13;18;17;2;5;0;1;0;0;;;;;;;;
25.02.2006;Bielefeld;Dortmund;1;0;H;1;0;H;14;12;15;17;7;3;2;1;0;0;;;;;;;;
25.02.2006;FC Koln;Leverkusen;0;3;A;0;0;D;16;18;13;13;5;6;3;2;1;0;;;;;;;;
25.02.2006;Mainz;Kaiserslautern;0;2;A;0;2;A;21;9;20;26;8;4;2;2;0;0;;;;;;;;
25.02.2006;Schalke 04;Nurnberg;2;0;H;0;0;D;16;9;15;18;7;0;1;3;0;1;;;;;;;;
25.02.2006;Werder Bremen;M'gladbach;2;0;H;2;0;H;14;6;19;16;10;6;0;1;0;0;;;;;;;;
25.02.2006;Wolfsburg;Hannover;2;1;H;1;1;D;13;15;17;24;8;5;0;1;0;0;;;;;;;;
26.02.2006;Duisburg;Hertha;2;1;H;1;0;H;19;10;34;24;3;6;3;3;0;1;;;;;;;;
26.02.2006;Hamburg;Stuttgart;0;2;A;0;1;A;14;11;21;21;3;1;3;4;1;0;;;;;;;;
04.03.2006;Bayern Munich;Hamburg;1;2;A;0;1;A;18;14;22;30;9;5;3;5;0;0;;;;;;;;
04.03.2006;Dortmund;Mainz;1;1;D;1;0;H;16;12;24;25;9;3;1;1;0;0;;;;;;;;
04.03.2006;Hannover;Schalke 04;1;2;A;0;2;A;16;9;14;13;6;7;3;4;0;1;;;;;;;;
04.03.2006;Hertha;FC Koln;2;4;A;0;0;D;28;19;13;27;9;1;2;5;0;0;;;;;;;;
04.03.2006;Leverkusen;Werder Bremen;1;1;D;1;1;D;8;6;18;32;3;4;2;2;0;0;;;;;;;;
04.03.2006;Nurnberg;Duisburg;3;0;H;2;0;H;14;10;18;27;9;2;1;3;0;1;;;;;;;;
05.03.2006;Ein Frankfurt;Wolfsburg;1;1;D;0;0;D;16;10;25;26;8;3;3;2;0;0;;;;;;;;
05.03.2006;M'gladbach;Bielefeld;2;0;H;1;0;H;19;11;14;13;7;2;2;0;0;0;;;;;;;;
07.03.2006;Kaiserslautern;Stuttgart;1;1;D;1;0;H;15;15;14;13;7;8;2;2;0;0;;;;;;;;
11.03.2006;Bielefeld;Leverkusen;1;0;H;1;0;H;10;5;19;25;7;2;3;3;0;0;;;;;;;;
11.03.2006;Duisburg;Hannover;0;0;D;0;0;D;11;12;12;26;3;9;2;2;0;0;;;;;;;;
11.03.2006;FC Koln;Nurnberg;3;4;A;1;3;A;14;13;26;25;9;2;6;3;1;0;;;;;;;;
11.03.2006;Mainz;M'gladbach;3;0;H;0;0;D;18;13;25;20;5;1;4;0;0;0;;;;;;;;
11.03.2006;Stuttgart;Dortmund;0;0;D;0;0;D;19;13;16;16;5;7;2;0;0;0;;;;;;;;
11.03.2006;Werder Bremen;Hertha;0;3;A;0;0;D;17;10;23;20;4;1;2;5;0;0;;;;;;;;
11.03.2006;Wolfsburg;Bayern Munich;0;0;D;0;0;D;3;18;18;15;0;6;3;1;0;0;;;;;;;;
12.03.2006;Hamburg;Kaiserslautern;3;0;H;0;0;D;19;19;13;20;7;0;0;0;0;0;;;;;;;;
12.03.2006;Schalke 04;Ein Frankfurt;2;0;H;0;0;D;20;7;19;25;6;4;2;1;0;0;;;;;;;;
18.03.2006;Dortmund;Kaiserslautern;2;1;H;1;1;D;37;8;12;20;11;1;0;2;0;0;;;;;;;;
18.03.2006;Ein Frankfurt;Duisburg;5;2;H;3;2;H;13;7;33;33;5;2;2;5;0;1;;;;;;;;
18.03.2006;Hannover;FC Koln;1;0;H;1;0;H;20;4;22;16;11;3;1;2;0;0;;;;;;;;
18.03.2006;Leverkusen;Mainz;1;2;A;0;1;A;18;14;11;25;10;5;0;4;0;0;;;;;;;;
18.03.2006;M'gladbach;Stuttgart;1;1;D;0;0;D;20;6;18;30;6;0;3;3;0;0;;;;;;;;
18.03.2006;Nurnberg;Werder Bremen;3;1;H;2;0;H;15;19;17;15;3;7;3;1;0;0;;;;;;;;
18.03.2006;Wolfsburg;Hamburg;0;1;A;0;1;A;16;9;24;32;4;1;3;1;0;0;;;;;;;;
19.03.2006;Bayern Munich;Schalke 04;3;0;H;0;0;D;8;7;26;27;2;4;3;3;0;0;;;;;;;;
19.03.2006;Hertha;Bielefeld;1;0;H;0;0;D;15;5;17;23;5;3;2;3;0;0;;;;;;;;
25.03.2006;Duisburg;Bayern Munich;1;3;A;1;0;H;9;15;31;27;2;5;4;5;0;0;;;;;;;;
25.03.2006;FC Koln;Ein Frankfurt;1;1;D;1;1;D;10;11;21;28;1;6;3;2;1;0;;;;;;;;
25.03.2006;Hamburg;Dortmund;2;4;A;1;1;D;13;13;15;14;13;1;2;3;0;0;;;;;;;;
25.03.2006;Mainz;Hertha;2;2;D;0;1;A;18;17;14;22;5;7;1;4;0;0;;;;;;;;
25.03.2006;Schalke 04;Wolfsburg;2;2;D;1;1;D;13;10;9;28;3;7;1;2;0;0;;;;;;;;
25.03.2006;Stuttgart;Leverkusen;0;2;A;0;1;A;17;11;19;25;8;3;1;3;0;0;;;;;;;;
25.03.2006;Werder Bremen;Hannover;5;0;H;2;0;H;15;15;20;17;2;13;1;4;0;0;;;;;;;;
26.03.2006;Bielefeld;Nurnberg;0;0;D;0;0;D;8;10;21;22;4;2;0;2;0;0;;;;;;;;
26.03.2006;Kaiserslautern;M'gladbach;3;0;H;2;0;H;8;15;25;18;1;7;1;2;0;0;;;;;;;;
01.04.2006;Bayern Munich;FC Koln;2;2;D;2;2;D;18;8;14;17;10;4;2;3;0;0;;;;;;;;
01.04.2006;Ein Frankfurt;Werder Bremen;0;1;A;0;0;D;10;11;24;25;2;7;2;4;0;0;;;;;;;;
01.04.2006;Hertha;Stuttgart;2;0;H;0;0;D;20;12;21;24;5;4;2;4;0;0;;;;;;;;
01.04.2006;Leverkusen;Kaiserslautern;5;1;H;2;0;H;24;12;13;16;7;5;0;0;0;0;;;;;;;;
01.04.2006;M'gladbach;Dortmund;2;1;H;2;1;H;18;6;16;30;9;2;3;3;0;0;;;;;;;;
01.04.2006;Nurnberg;Mainz;3;0;H;1;0;H;14;12;17;23;7;3;1;4;0;0;;;;;;;;
01.04.2006;Wolfsburg;Duisburg;1;1;D;0;0;D;10;10;17;26;4;3;1;5;1;0;;;;;;;;
02.04.2006;Hannover;Bielefeld;0;1;A;0;1;A;14;9;27;11;5;3;2;0;0;0;;;;;;;;
02.04.2006;Schalke 04;Hamburg;0;2;A;0;0;D;18;14;19;25;5;4;3;4;1;0;;;;;;;;
08.04.2006;Bielefeld;Ein Frankfurt;1;0;H;0;0;D;11;11;15;24;7;4;3;3;0;1;;;;;;;;
08.04.2006;Dortmund;Leverkusen;1;2;A;1;1;D;20;20;16;19;11;7;0;2;0;0;;;;;;;;
08.04.2006;FC Koln;Wolfsburg;3;0;H;0;0;D;15;10;14;21;10;4;1;3;0;0;;;;;;;;
08.04.2006;Kaiserslautern;Hertha;0;2;A;0;2;A;13;12;24;17;2;2;2;1;0;0;;;;;;;;
08.04.2006;Mainz;Hannover;0;0;D;0;0;D;10;14;10;17;4;9;1;3;0;0;;;;;;;;
08.04.2006;Stuttgart;Nurnberg;1;0;H;0;0;D;15;9;21;22;9;5;2;3;0;1;;;;;;;;
08.04.2006;Werder Bremen;Bayern Munich;3;0;H;1;0;H;9;16;21;13;3;10;3;3;0;0;;;;;;;;
09.04.2006;Duisburg;Schalke 04;1;1;D;1;0;H;15;13;36;24;4;4;2;4;0;0;;;;;;;;
09.04.2006;Hamburg;M'gladbach;2;0;H;1;0;H;12;11;17;20;6;7;1;2;0;0;;;;;;;;
15.04.2006;Bayern Munich;Bielefeld;2;0;H;0;0;D;24;9;16;14;16;2;0;1;0;0;;;;;;;;
15.04.2006;Duisburg;Hamburg;0;2;A;0;2;A;25;7;25;25;8;3;1;2;0;0;;;;;;;;
15.04.2006;Ein Frankfurt;Mainz;0;0;D;0;0;D;16;9;17;17;5;2;3;0;0;0;;;;;;;;
15.04.2006;Hertha;Dortmund;0;0;D;0;0;D;22;19;16;20;6;6;2;3;0;0;;;;;;;;
15.04.2006;Leverkusen;M'gladbach;2;1;H;1;0;H;16;6;20;26;7;4;2;4;0;1;;;;;;;;
15.04.2006;Schalke 04;FC Koln;1;1;D;0;1;A;8;11;22;33;3;7;1;2;0;0;;;;;;;;
15.04.2006;Wolfsburg;Werder Bremen;1;1;D;1;1;D;9;13;17;23;5;3;1;3;1;0;;;;;;;;
16.04.2006;Hannover;Stuttgart;3;3;D;2;0;H;9;19;16;9;9;7;2;1;1;0;;;;;;;;
16.04.2006;Nurnberg;Kaiserslautern;3;2;H;1;1;D;13;17;15;27;3;8;4;3;0;0;;;;;;;;
22.04.2006;Bielefeld;Wolfsburg;0;1;A;0;1;A;16;10;19;15;8;0;4;2;0;0;;;;;;;;
22.04.2006;Dortmund;Nurnberg;2;1;H;1;1;D;20;14;19;31;9;4;2;4;0;0;;;;;;;;
22.04.2006;FC Koln;Duisburg;3;1;H;1;0;H;16;10;26;19;3;1;2;2;0;0;;;;;;;;
22.04.2006;Hamburg;Leverkusen;0;2;A;0;1;A;33;11;12;20;12;3;2;2;0;0;;;;;;;;
22.04.2006;Kaiserslautern;Hannover;1;0;H;1;0;H;8;15;23;28;1;6;3;5;0;0;;;;;;;;
22.04.2006;M'gladbach;Hertha;2;2;D;1;1;D;10;25;32;25;3;5;4;3;0;0;;;;;;;;
22.04.2006;Stuttgart;Ein Frankfurt;0;2;A;0;0;D;11;10;19;13;8;2;2;1;0;0;;;;;;;;
23.04.2006;Mainz;Bayern Munich;2;2;D;2;2;D;14;11;25;24;2;8;3;2;0;0;;;;;;;;
23.04.2006;Werder Bremen;Schalke 04;0;0;D;0;0;D;17;13;32;15;7;5;3;1;0;0;;;;;;;;
02.05.2006;FC Koln;Hamburg;0;1;A;0;1;A;25;5;10;18;19;3;1;2;0;0;;;;;;;;
02.05.2006;Hannover;Dortmund;1;2;A;1;0;H;26;5;9;20;8;1;1;4;0;0;;;;;;;;
02.05.2006;Hertha;Leverkusen;1;5;A;1;3;A;23;12;16;12;11;3;2;1;0;0;;;;;;;;
02.05.2006;Nurnberg;M'gladbach;5;2;H;1;2;A;20;12;19;22;1;5;2;3;0;0;;;;;;;;
03.05.2006;Bayern Munich;Stuttgart;3;1;H;2;1;H;17;9;17;14;1;4;1;1;0;0;;;;;;;;
03.05.2006;Duisburg;Werder Bremen;3;5;A;2;3;A;17;19;23;18;5;4;5;3;0;0;;;;;;;;
03.05.2006;Ein Frankfurt;Kaiserslautern;2;2;D;0;1;A;16;15;17;17;11;5;1;2;0;0;;;;;;;;
03.05.2006;Schalke 04;Bielefeld;3;1;H;1;0;H;24;6;24;21;4;2;2;3;0;0;;;;;;;;
03.05.2006;Wolfsburg;Mainz;0;3;A;0;1;A;17;9;17;21;8;2;3;1;0;0;;;;;;;;
06.05.2006;Bielefeld;Duisburg;0;2;A;0;0;D;14;11;15;21;7;8;2;0;0;0;;;;;;;;
06.05.2006;Dortmund;Ein Frankfurt;1;1;D;0;0;D;18;8;21;19;10;3;2;3;0;0;;;;;;;;
06.05.2006;Hertha;Hamburg;4;2;H;1;2;A;19;26;16;18;3;9;4;2;1;0;;;;;;;;
06.05.2006;Kaiserslautern;Bayern Munich;1;1;D;1;0;H;5;18;15;13;3;8;1;0;0;0;;;;;;;;
06.05.2006;Leverkusen;Nurnberg;2;2;D;0;1;A;18;12;10;22;5;3;0;3;0;0;;;;;;;;
06.05.2006;Mainz;Schalke 04;1;0;H;1;0;H;9;12;22;15;1;7;1;1;0;0;;;;;;;;
06.05.2006;M'gladbach;Hannover;2;2;D;0;1;A;22;9;16;15;13;6;2;1;0;0;;;;;;;;
06.05.2006;Stuttgart;Wolfsburg;2;1;H;1;1;D;17;14;24;16;5;3;4;0;0;0;;;;;;;;
06.05.2006;Werder Bremen;FC Koln;6;0;H;3;0;H;19;12;20;18;4;5;1;0;0;0;;;;;;;;
13.05.2006;Bayern Munich;Dortmund;3;3;D;1;1;D;19;13;19;17;6;4;1;1;0;0;;;;;;;;
13.05.2006;Duisburg;Mainz;0;0;D;0;0;D;17;15;20;16;6;5;2;2;0;0;;;;;;;;
13.05.2006;Ein Frankfurt;M'gladbach;0;2;A;0;0;D;16;14;23;16;3;7;2;3;0;0;;;;;;;;
13.05.2006;FC Koln;Bielefeld;4;2;H;1;0;H;20;13;14;10;4;5;2;0;0;0;;;;;;;;
13.05.2006;Hamburg;Werder Bremen;1;2;A;0;1;A;12;11;22;23;7;4;4;2;0;0;;;;;;;;
13.05.2006;Hannover;Leverkusen;2;2;D;1;2;A;17;8;22;15;6;2;0;0;0;0;;;;;;;;
13.05.2006;Nurnberg;Hertha;2;1;H;1;1;D;21;17;19;23;4;8;3;5;1;1;;;;;;;;
13.05.2006;Schalke 04;Stuttgart;3;2;H;0;1;A;23;15;8;36;5;4;0;1;0;0;;;;;;;;
13.05.2006;Wolfsburg;Kaiserslautern;2;2;D;0;1;A;19;8;21;25;4;3;5;4;0;0;;;;;;;;
11.08.2006;Bayern Munich;Dortmund;2;0;H;1;0;H;12;16;9;7;14;20;4;4;1;2;0;0;;;;;;
12.08.2006;Hamburg;Bielefeld;1;1;D;0;1;A;26;10;19;5;29;22;11;2;3;2;0;0;;;;;;
12.08.2006;Leverkusen;Aachen;3;0;H;2;0;H;20;8;11;5;22;8;5;1;3;0;1;1;;;;;;
12.08.2006;Mainz;Bochum;2;1;H;1;0;H;11;19;5;9;17;15;1;8;2;3;0;0;;;;;;
12.08.2006;M'gladbach;Cottbus;2;0;H;0;0;D;13;11;8;7;11;24;3;5;0;4;0;1;;;;;;
12.08.2006;Schalke 04;Ein Frankfurt;1;1;D;1;0;H;24;8;13;5;17;19;7;5;1;2;0;0;;;;;;
12.08.2006;Stuttgart;Nurnberg;0;3;A;0;2;A;10;11;8;8;12;24;5;6;1;2;0;0;;;;;;
13.08.2006;Hannover;Werder Bremen;2;4;A;1;1;D;14;15;6;8;18;14;2;11;1;3;0;0;;;;;;
13.08.2006;Wolfsburg;Hertha;0;0;D;0;0;D;26;10;15;4;30;18;10;5;4;1;0;0;;;;;;
18.08.2006;Nurnberg;M'gladbach;1;0;H;1;0;H;11;11;7;6;19;20;2;5;2;3;0;0;;;;;;
19.08.2006;Aachen;Schalke 04;0;1;A;0;0;D;12;11;7;7;33;16;5;4;5;2;0;0;;;;;;
19.08.2006;Cottbus;Hamburg;2;2;D;0;1;A;17;15;10;12;17;17;8;8;1;2;0;1;;;;;;
19.08.2006;Dortmund;Mainz;1;1;D;0;0;D;17;6;10;4;18;30;7;3;2;1;0;0;;;;;;
19.08.2006;Ein Frankfurt;Wolfsburg;0;0;D;0;0;D;19;8;9;5;24;31;10;1;5;2;1;0;;;;;;
19.08.2006;Hertha;Hannover;4;0;H;2;0;H;11;5;9;1;11;18;2;2;1;2;0;1;;;;;;
19.08.2006;Werder Bremen;Leverkusen;2;1;H;1;1;D;19;21;10;9;20;18;8;13;3;2;0;0;;;;;;
20.08.2006;Bielefeld;Stuttgart;2;3;A;0;1;A;15;13;9;9;16;25;4;7;1;1;0;2;;;;;;
20.08.2006;Bochum;Bayern Munich;1;2;A;0;1;A;6;21;4;13;23;25;2;4;1;2;0;0;;;;;;
25.08.2006;Schalke 04;Werder Bremen;2;0;H;1;0;H;12;8;9;6;23;22;7;10;3;3;0;0;;;;;;
26.08.2006;Bayern Munich;Nurnberg;0;0;D;0;0;D;19;9;10;2;12;18;14;4;2;1;0;0;;;;;;
26.08.2006;Bochum;Cottbus;0;1;A;0;0;D;21;12;8;5;25;20;9;2;2;6;0;0;;;;;;
26.08.2006;Hannover;Aachen;0;3;A;0;1;A;8;5;4;3;7;14;6;1;1;1;0;0;;;;;;
26.08.2006;Leverkusen;Wolfsburg;1;1;D;0;0;D;17;15;9;5;18;19;8;6;0;1;1;0;;;;;;
26.08.2006;M'gladbach;Bielefeld;1;0;H;0;0;D;9;8;5;3;13;10;5;4;0;1;0;0;;;;;;
26.08.2006;Stuttgart;Dortmund;1;3;A;1;2;A;22;9;13;4;18;30;12;6;3;2;0;0;;;;;;
27.08.2006;Hamburg;Hertha;1;1;D;1;0;H;29;13;11;12;19;20;7;9;3;3;1;1;;;;;;
27.08.2006;Mainz;Ein Frankfurt;1;1;D;0;1;A;13;10;8;4;25;28;5;5;4;0;0;2;;;;;;
15.09.2006;Wolfsburg;Hannover;1;2;A;0;0;D;9;11;3;5;27;25;3;3;2;0;0;0;;;;;;
16.09.2006;Aachen;M'gladbach;4;2;H;2;0;H;14;12;9;7;23;12;3;5;3;2;0;0;;;;;;
16.09.2006;Bielefeld;Bayern Munich;2;1;H;1;1;D;11;15;6;9;25;12;2;11;3;1;0;0;;;;;;
16.09.2006;Cottbus;Mainz;2;0;H;0;0;D;10;5;6;2;20;23;3;2;2;1;0;0;;;;;;
16.09.2006;Dortmund;Hamburg;1;0;H;0;0;D;19;15;7;10;12;23;11;4;2;1;0;0;;;;;;
16.09.2006;Nurnberg;Bochum;1;1;D;1;1;D;22;4;13;4;8;10;8;2;0;0;0;0;;;;;;
16.09.2006;Werder Bremen;Stuttgart;2;3;A;2;1;H;17;21;9;12;12;21;8;5;2;3;0;0;;;;;;
17.09.2006;Ein Frankfurt;Leverkusen;3;1;H;0;0;D;16;19;8;12;19;22;4;6;3;4;0;0;;;;;;
17.09.2006;Hertha;Schalke 04;2;0;H;1;0;H;10;14;5;8;19;17;5;8;1;3;0;0;;;;;;
22.09.2006;M'gladbach;Dortmund;1;0;H;1;0;H;9;8;5;3;22;26;5;8;2;3;0;0;;;;;;
23.09.2006;Bayern Munich;Aachen;2;1;H;1;1;D;21;6;13;5;11;23;9;4;2;3;0;0;;;;;;
23.09.2006;Hamburg;Werder Bremen;1;1;D;0;0;D;10;14;4;7;22;25;3;7;2;3;1;0;;;;;;
23.09.2006;Hannover;Leverkusen;1;1;D;0;1;A;16;12;8;6;20;15;12;3;2;0;0;0;;;;;;
23.09.2006;Mainz;Hertha;1;1;D;0;0;D;17;12;11;9;17;16;3;3;1;1;0;0;;;;;;
23.09.2006;Schalke 04;Wolfsburg;2;0;H;0;0;D;23;10;12;5;12;25;7;4;3;2;0;0;;;;;;
23.09.2006;Stuttgart;Ein Frankfurt;1;1;D;0;0;D;21;12;10;5;17;11;8;7;0;1;0;0;;;;;;
24.09.2006;Bochum;Bielefeld;2;1;H;0;1;A;13;17;7;12;21;18;2;5;2;1;0;0;;;;;;
24.09.2006;Cottbus;Nurnberg;1;1;D;0;1;A;12;18;5;12;23;19;6;5;2;2;0;0;;;;;;
29.09.2006;Dortmund;Hannover;2;2;D;1;0;H;13;17;9;8;20;15;3;4;2;2;0;0;;;;;;
30.09.2006;Aachen;Bochum;2;1;H;0;1;A;12;21;8;11;21;14;2;6;3;2;0;0;;;;;;
30.09.2006;Bielefeld;Cottbus;3;1;H;0;1;A;10;11;5;8;16;27;2;4;2;2;0;0;;;;;;
30.09.2006;Ein Frankfurt;Hamburg;2;2;D;1;0;H;14;9;8;8;21;20;4;1;0;3;0;0;;;;;;
30.09.2006;Nurnberg;Mainz;1;1;D;1;0;H;11;11;5;7;19;18;4;3;2;1;1;0;;;;;;
30.09.2006;Werder Bremen;M'gladbach;3;0;H;3;0;H;12;7;6;4;18;15;5;3;1;3;0;0;;;;;;
30.09.2006;Wolfsburg;Bayern Munich;1;0;H;1;0;H;7;17;1;10;18;12;2;7;2;1;0;0;;;;;;
01.10.2006;Hertha;Stuttgart;2;2;D;2;1;H;17;18;11;9;21;22;6;2;2;3;0;0;;;;;;
01.10.2006;Leverkusen;Schalke 04;3;1;H;1;1;D;21;12;12;6;27;25;5;10;4;1;0;0;;;;;;
13.10.2006;Mainz;Aachen;1;3;A;1;2;A;23;10;10;6;7;13;7;4;2;5;0;0;;;;;;
14.10.2006;Bayern Munich;Hertha;4;2;H;2;0;H;16;12;10;5;7;15;4;5;1;3;0;0;;;;;;
14.10.2006;Bochum;Werder Bremen;0;6;A;0;1;A;12;27;4;16;17;20;3;6;2;1;0;0;;;;;;
