Date;HomeTeam;AwayTeam;FullTimeHomeTeamGoals;FullTimeAwayTeamGoals;FullTimeResult;HalfTimeHomeTeamGoals;HalfTimeAwayTeamGoals;HalfTimeResult;HomeTeamShots;AwayTeamShots;HomeTeamShots;AwayTeamShots;HomeTeamFoulsCommitted;AwayTeamFoulsCommitted;HomeTeamCorners;AwayTeamCorners;HomeTeamYellowCards;AwayTeamYellowCards;HomeTeamRedCards;AwayTeamRedCards;;;;;;
23.10.1993;Karlsruhe;Stuttgart;0;0;D;;;;;;;;;;;;;;;;;;;;;
23.10.1993;M'Gladbach;Wattenscheid;3;3;D;;;;;;;;;;;;;;;;;;;;;
23.10.1993;Nurnberg;Leipzig;5;0;H;;;;;;;;;;;;;;;;;;;;;
23.10.1993;Schalke 04;Dresden;0;0;D;;;;;;;;;;;;;;;;;;;;;
23.10.1993;Werder Bremen;Hamburg;0;2;A;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Bayern Munich;Kaiserslautern;4;0;H;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Dortmund;M'Gladbach;3;0;H;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Dresden;Freiburg;1;2;A;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Duisburg;Nurnberg;1;0;H;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Hamburg;FC Koln;2;4;A;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Leipzig;Karlsruhe;1;0;H;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Leverkusen;Werder Bremen;2;2;D;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Stuttgart;Schalke 04;3;0;H;;;;;;;;;;;;;;;;;;;;;
30.10.1993;Wattenscheid;Ein Frankfurt;0;0;D;;;;;;;;;;;;;;;;;;;;;
06.11.1993;Dresden;Leverkusen;1;1;D;;;;;;;;;;;;;;;;;;;;;
06.11.1993;Ein Frankfurt;Dortmund;2;0;H;;;;;;;;;;;;;;;;;;;;;
06.11.1993;FC Koln;Werder Bremen;2;0;H;;;;;;;;;;;;;;;;;;;;;
06.11.1993;Freiburg;Stuttgart;2;1;H;;;;;;;;;;;;;;;;;;;;;
06.11.1993;Kaiserslautern;Wattenscheid;4;1;H;;;;;;;;;;;;;;;;;;;;;
06.11.1993;Karlsruhe;Duisburg;5;0;H;;;;;;;;;;;;;;;;;;;;;
06.11.1993;M'Gladbach;Hamburg;2;2;D;;;;;;;;;;;;;;;;;;;;;
06.11.1993;Nurnberg;Bayern Munich;2;0;H;;;;;;;;;;;;;;;;;;;;;
06.11.1993;Schalke 04;Leipzig;3;1;H;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Bayern Munich;Karlsruhe;1;0;H;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Dortmund;Kaiserslautern;2;1;H;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Duisburg;Schalke 04;1;0;H;;;;;;;;;;;;;;;;;;;;;
13.11.1993;FC Koln;M'Gladbach;0;4;A;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Hamburg;Ein Frankfurt;3;0;H;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Leipzig;Freiburg;2;2;D;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Stuttgart;Leverkusen;1;4;A;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Wattenscheid;Nurnberg;2;1;H;;;;;;;;;;;;;;;;;;;;;
13.11.1993;Werder Bremen;Dresden;0;1;A;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Dresden;Stuttgart;1;0;H;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Ein Frankfurt;FC Koln;0;3;A;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Freiburg;Duisburg;1;2;A;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Kaiserslautern;Hamburg;3;0;H;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Karlsruhe;Wattenscheid;2;0;H;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Leverkusen;Leipzig;3;1;H;;;;;;;;;;;;;;;;;;;;;
20.11.1993;M'Gladbach;Werder Bremen;3;2;H;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Nurnberg;Dortmund;0;0;D;;;;;;;;;;;;;;;;;;;;;
20.11.1993;Schalke 04;Bayern Munich;1;1;D;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Dresden;Leipzig;1;0;H;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Ein Frankfurt;M'Gladbach;0;3;A;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Freiburg;Bayern Munich;3;1;H;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Kaiserslautern;FC Koln;3;0;H;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Karlsruhe;Dortmund;3;3;D;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Leverkusen;Duisburg;2;1;H;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Nurnberg;Hamburg;0;1;A;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Schalke 04;Wattenscheid;4;1;H;;;;;;;;;;;;;;;;;;;;;
27.11.1993;Stuttgart;Werder Bremen;0;0;D;;;;;;;;;;;;;;;;;;;;;
